ID,seg,music_training,press
S51-TYS,Seg15,0,0
S51-TYS,Seg16,0,0
S51-TYS,Seg17,0,0
S51-TYS,Seg18,0,1
S51-TYS,Seg19,0,0
S51-TYS,Seg20,0,0
S51-TYS,Seg21,0,0
B51-RDZ,Seg1,5,0
B51-RDZ,Seg2,5,0
B51-RDZ,Seg3,5,0
B51-RDZ,Seg4,5,0
B51-RDZ,Seg5,5,0
B51-RDZ,Seg6,5,0
B51-RDZ,Seg7,5,0
B51-RDZ,Seg8,5,0
B51-RDZ,Seg9,5,0
B51-RDZ,Seg10,5,0
B51-RDZ,Seg11,5,0
B51-RDZ,Seg12,5,0
B51-RDZ,Seg13,5,1
B51-RDZ,Seg14,5,0
B51-RDZ,Seg15,5,0
B51-RDZ,Seg16,5,0
B51-RDZ,Seg17,5,0
B51-RDZ,Seg18,5,0
B51-RDZ,Seg19,5,0
B51-RDZ,Seg20,5,1
B51-RDZ,Seg21,5,0
K80-MHN,Seg1,7,0
K80-MHN,Seg2,7,0
K80-MHN,Seg3,7,0
K80-MHN,Seg4,7,0
K80-MHN,Seg5,7,0
K80-MHN,Seg6,7,0
K80-MHN,Seg7,7,0
K80-MHN,Seg8,7,0
K80-MHN,Seg9,7,0
K80-MHN,Seg10,7,0
K80-MHN,Seg11,7,0
K80-MHN,Seg12,7,0
K80-MHN,Seg13,7,0
K80-MHN,Seg14,7,0
K80-MHN,Seg15,7,0
K80-MHN,Seg16,7,0
K80-MHN,Seg17,7,0
K80-MHN,Seg18,7,0
K80-MHN,Seg19,7,0
K80-MHN,Seg20,7,0
